::ffff:127.0.0.1 - - [20/Apr/2020:22:00:58 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 200 - "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:01:33 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:01:47 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/?email=Buffalo%20Bill%27s%20Wild%20West%20Parad" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:02:00 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/?email=Buffalo%20Bill%27s%20Wild%20West%20Parad" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:04:21 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/?email=Buffalo%20Bill%27s%20Wild%20West%20Parad" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:04:30 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/?email=Buffalo%20Bill%27s%20Wild%20West%20Parad" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:08:32 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/?email=Buffalo%20Bill%27s%20Wild%20West%20Parad" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:08:37 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" - - "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:08:41 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 200 - "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:08:52 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:09:29 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
